years,component,description,docs_url,data_url
2007-2008,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1IDS_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1IDS_E.xpt
2011-2012,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1IDS_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1IDS_G.xpt
2013-2014,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1IDS_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1IDS_H.xpt
2015-2016,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1IDS_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1IDS_I.xpt
2017-2018,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1IDS_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1IDS_J.xpt
2017-2020,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1IDS.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1IDS.xpt
2009-2010,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2IDS_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2IDS_F.xpt
2007-2008,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2IDS_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2IDS_E.xpt
2011-2012,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2IDS_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2IDS_G.xpt
2013-2014,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2IDS_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2IDS_H.xpt
2015-2016,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2IDS_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2IDS_I.xpt
2017-2018,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2IDS_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2IDS_J.xpt
2017-2020,Dietary,"Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2IDS.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2IDS.xpt
2009-2010,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS1TOT_F.xpt
2007-2008,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS1TOT_E.xpt
2011-2012,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS1TOT_G.xpt
2013-2014,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS1TOT_H.xpt
2015-2016,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS1TOT_I.xpt
2017-2018,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS1TOT_J.xpt
2017-2020,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS1TOT.xpt
2009-2010,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2TOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DS2TOT_F.xpt
2007-2008,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2TOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DS2TOT_E.xpt
2011-2012,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2TOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DS2TOT_G.xpt
2013-2014,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2TOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DS2TOT_H.xpt
2015-2016,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2TOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DS2TOT_I.xpt
2017-2018,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2TOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DS2TOT_J.xpt
2017-2020,Dietary,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day",https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2TOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DS2TOT.xpt
2009-2010,Dietary,Dietary Supplement Use 30 Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQIDS_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQIDS_F.xpt
2007-2008,Dietary,Dietary Supplement Use 30 Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQIDS_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQIDS_E.xpt
2011-2012,Dietary,Dietary Supplement Use 30 Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQIDS_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQIDS_G.xpt
1999-2000,Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE1.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE1.xpt
2001-2002,Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ1_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ1_B.xpt
2003-2004,Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ1_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ1_C.xpt
2005-2006,Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ1_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ1_D.xpt
1999-2000,Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE2.htm,https://wwwn.cdc.gov/Nchs/Nhanes/1999-2000/DSQFILE2.xpt
2001-2002,Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ2_B.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2001-2002/DSQ2_B.xpt
2003-2004,Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ2_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/DSQ2_C.xpt
2005-2006,Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ2_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/DSQ2_D.xpt
2013-2014,Dietary,Dietary Supplement Use 30-Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQIDS_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQIDS_H.xpt
2015-2016,Dietary,Dietary Supplement Use 30-Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQIDS_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQIDS_I.xpt
2017-2018,Dietary,Dietary Supplement Use 30-Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQIDS_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQIDS_J.xpt
2017-2020,Dietary,Dietary Supplement Use 30-Day - Individual Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQIDS.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQIDS.xpt
2009-2010,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQTOT_F.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2009-2010/DSQTOT_F.xpt
2007-2008,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQTOT_E.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2007-2008/DSQTOT_E.xpt
2011-2012,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQTOT_G.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2011-2012/DSQTOT_G.xpt
2013-2014,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQTOT_H.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2013-2014/DSQTOT_H.xpt
2015-2016,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQTOT_I.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2015-2016/DSQTOT_I.xpt
2017-2018,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQTOT_J.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/DSQTOT_J.xpt
2017-2020,Dietary,Dietary Supplement Use 30-Day - Total Dietary Supplements,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQTOT.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2017-2018/P_DSQTOT.xpt
2003-2004,Dietary,Food Frequency Questionnaire - Look-Up Table FOODLOOK,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FOODLK_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/FOODLK_C.xpt
2005-2006,Dietary,Food Frequency Questionnaire - Look-Up Table FOODLOOK,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FOODLK_D.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2005-2006/FOODLK_D.xpt
2003-2004,Dietary,Food Frequency Questionnaire - Look-Up Table VARLOOK,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/VARLK_C.htm,https://wwwn.cdc.gov/Nchs/Nhanes/2003-2004/VARLK_C.xpt
